t_sec,act,kills,spawned,leak_hp,alive_end,base_hp
0,1,55,64,20,9,981
30,1,83,75,8,1,973
60,1,84,107,1,24,971
90,1,119,97,13,2,958
120,1,108,111,16,5,943
150,1,110,115,41,10,902
180,1,157,154,49,7,854
210,1,135,140,40,12,814
240,1,142,150,34,20,780
270,1,196,183,13,7,767
300,2,162,172,33,17,734
330,2,204,192,48,5,686
360,2,248,254,15,11,671
390,2,227,233,40,17,631
420,2,230,252,33,39,599
450,2,331,305,49,13,550
480,2,289,295,64,19,486
510,2,315,311,25,15,461
540,2,352,369,63,32,398
570,2,357,349,38,24,359
600,3,382,375,88,17,271
630,3,421,429,98,25,173
660,3,418,418,53,25,120
690,3,442,433,62,16,59
720,3,308,321,59,29,0
